"$      40,000","$         12,000",1,30.731,"$        6,000","$        5,100",Mark & Linda Jarvis,Our First Goodbye,Marcie Wilson,$              600,The Goodbye Lane,$           3 00,Mark & Linda Jarvis
"$           8,000",2,30.801,"$        4,000","$        3,400",Jeff & Buffy Walchli,Rock O Blazin Fame,Buffy Walchli,$             400,Blazin Jetolena,$           2 00,Scott Martin,
"$           5,200",3,30.814,"$        2,600","$        2,210",Deanna Mixon,Slick Lil Amigo,Sabra Oquinn,$             260,Slick By Design,$           1 30,Charlie Cote & Jason Martin,
"$           4,000",4,30.953,"$       2,000","$       1,700",Kelsey Hayden,Buhbye,Kelsey Hayden,$              200,The Goodbye Lane,$           1 00,Dawson Seeley,
"$           2,800",5,30.985,"$       1,400","$        1,190",JP7C Properties,Born Ivory James,Kay Blanford,$             140,Born Ta Be Famous,$             70,Victory Farms,
"$           2,400",6,31.064,"$        1,200","$       1,020",Kimi Nichols,KN Rumor Has It,Kimi Nichols,$             120,Born Ta Be Famous,$             60,Kimi Ann Nichols,
"$           2,000",7,31.123,"$       1,000",$           8 50,McColee Land & Livestock,Manny Dot Com,Jade Rindlisbacher,$             100,PC Redwood Manny,$             50,Melvin D Griffeth,
"$           1,600",8,31.178,$           8 00,$           6 80,Bill & Cheryl Kennedy,Papagaio,Andre Coelho,$                8 0,Tres Seis,$             40,Bill & Cherly Kennedy,
"$           1,200",9,31.241,$           6 00,$           5 10,Jordon Briggs,One First Class Lady,Jordon Briggs,$                6 0,Blazin Jetolena,$             30,Busby Quarterhorse LLC,
$               800,10,31.281,$           4 00,$           3 40,McKenna Davis,VF Eddy Bull,Ryan Reynolds,$                4 0,Eddie Stinson,$             20,,
"$      40,000","$         12,000",1,31.746,"$       6,000","$        5,100",Busby Quarterhorse LLC,Jets Famous Lady,Ashley Martiukus,$             600,Blazin Jetolena,$           3 00,Busby Quarterhorse LLC
"$           8,000",2,31.767,"$        4,000","$       3,400",Wayne & Kim Smith,Datsa Lita Playmate,Sage Smith,$              400,Dats A Frenchman,$           2 00,Bryon & Amy McHale,
"$           5,200",3,31.777,"$       2,600","$        2,210",Bailey Wallis,Jetbkus Imafrenchman,Bailey Wallis,$             260,Dats A Frenchman,$           1 30,Robert & Kay Weeks,
"$           4,000",4,31.784,"$       2,000","$        1,700",Victory Farms,VF Chasin Cans,Kelsey Lutjen,$             200,Eddie Stinson,$           1 00,Victory Farms,
"$           2,800",5,31.798,"$        1,400","$       1,190",Greg & Lori Shearer,SX Smooth Drombouie,Lori Shearer,$             140,A Smooth Guy,$             70,Gregory L or Lori L Shearer,
"$           2,400",6,31.813,"$       1,200","$        1,020",Shana Gibson,Uno Mas Goodbye,Shana Gibson,$              120,The Goodbye Lane,$             60,Shana Gibson,
"$           2,000",7,31.834,"$       1,000",$           8 50,Cole & Marcie Wilson,CM Waitin On Lane,Marcie Wilson,$             100,The Goodbye Lane,$             50,Cole & Marcie Wilson,
"$           1,600",8,31.848,$           8 00,$           6 80,Jack Hopper,Shes A Slick One,Michelle McLeod,$                8 0,Slick By Design,$             40,Jack Hopper,
"$           1,200",9,31.938,$           6 00,$           5 10,Greg Torgerson,PCR Pink Cadillac,Jayda Torgerson,$                6 0,,$             30,Greg Torgerson,
$               800,10,31.944,$           4 00,$           3 40,Morris Polluck,Ima Slick Bug,Will Lear,$                4 0,Slick By Design,$             20,Wayne Kerr,
"$      40,000","$         12,000",1,32.769,"$       6,000","$        5,100",Maesa Kummer,A Smooth Bunny,Maesa Kummer,$             600,A Smooth Guy,$           3 00,Tracy or Marlie Trask
"$           8,000",2,32.788,"$        4,000","$       3,400",Brian & Shauna Felter,KYS Goodbye Fame,Shauna Felter,$              400,The Goodbye Lane,$           2 00,Dawson Seeley,
"$           5,200",3,32.870,"$        2,600","$       2,210",Okelberry Livestock,RSR Speed Com Manny,Katlyn Carter,$              260,PC Redwood Manny,$           1 30,Swan TK Jr,
"$           4,000",4,32.886,"$        2,000","$        1,700",Casey & Linda Hunter,Paid Prescription,Linda Hunter,$             200,Irish Pay,$           1 00,R Stoyan or Chelsea R Lucey,
"$           2,800",5,32.918,"$        1,400","$       1,190",Jenae Ordeman,Okie Dokey Guy,Jenae Ordeman,$             140,Dats A Frenchman,$             70,Robert Weeks,
"$           2,400",6,32.972,"$       1,200","$       1,020",Levi O'Keeffe,Outstanding Pay,Lindsay O'Keeffe,$              120,Irish Pay,$             60,David or Lisa O'Keeffe,
"$           2,000",7,32.984,"$        1,000",$           8 50,Greg or Shana Gibson,RV Minion,Shana Gibson,$              100,The Goodbye Lane,$             50,Randy or Vauna Walker,
"$           1,600",8,33.098,$           8 00,$           6 80,Alyssa Bigon,Burnt Bizkit,Alyssa Bigon,$                8 0,MP Jet To The Sun,$             40,Monica McClung,
"$           1,200",9,33.138,$           6 00,$           5 10,Gary Jolley,Fueling The Talent,Michelle Myers,$                6 0,Prime Talent,$             30,Copper Spring Ranch,
$               800,10,33.254,$           4 00,$           3 40,Four Taylors Ranch LLC,Blazins Last Cowgirl,Melissa Taylor,$                4 0,Blazin Jetolena,$             20,Susan Rist,
"$      40,000","$         12,000",1,33.754,"$        6,000","$       5,100",Cheryl or Daniel Murry,Blazin High Octane,Cheryl Murray,$              600,Blazin Jetolena,$           3 00,Cheryl or Daniel Murray
"$           8,000",2,33.979,"$        4,000","$       3,400",Mandy Raltson,Mr Dashin Bug,Tricia Aldridge,$             400,Dashin Dynamo,$           2 00,,
"$           5,200",3,34.053,"$        2,600","$       2,210",Lance Robinson & Max Anderson,Miss Redwood Stoli,Jade Rindlisbacher,$             260,PC Redwood Manny,$           1 30,Lance Robinson & Max Anderson,
"$           4,000",4,34.176,"$        2,000","$       1,700",Stefani Barnett,Aces Bug Leo,Stefani Barnett,$              200,Shawne Bug Leo,$           1 00,Jerry D Smith,
"$           2,800",5,34.209,"$        1,400","$       1,190",Davi or Willie Watterson,Famously Smooth,Davi Watterson,$             140,A Smooth Guy,$             70,Thomas & Lainee Sampson,
"$           2,400",6,34.502,"$        1,200","$        1,020",Tracy Milne,Streakin Stinson,Tracy Milne,$             120,Eddie Stinson,$             60,Kapp Investment Properties,
"$           2,000",7,34.514,"$        1,000",$           8 50,Shawna Letcher,Doin What She Needs,Shawna Letcher,$              100,A Smooth Guy,$             50,Luther Lange,
"$           1,600",8,34.619,$           8 00,$           6 80,Shawna Letcher,One Smooth Savage,Shawna Letcher,$                8 0,A Smooth Guy,$             40,Freda J Johnson,
"$           1,200",9,34.833,$           6 00,$           5 10,Van & Jake Bass,Speedy Dot Com,Timber Cote,$                6 0,PC Redwood Manny,$             30,Lance Robinson & Max Anderson,
$               800,10,,$           4 00,$           3 40,,,,$                4 0,,$             20,,
