Sire,Sires’ Sire,Dam,Dam Sire,Color,Fee,,
AL CAPPONE,SHAWNE BUG LEO,TR DOUBLE CASH,TEXAS HIGH DASHER,Sorrel,1750,,
AS GOOD AS NICK GETS,DR NICK BAR,MYSTICAL AVENGER,STAUNCH AVENGER (TB),Sorrel,3000,,
BHR FRENCHIES SOCKS,FRENCHMANS GUY,BHR MISSY SOCKS,CAN HE GO,Sorrel,4500,,
BLAZIN HONOR,BLAZIN JETOLENA,VIKING VIXIONS LAST,POWER TRAIN,Sorrel,1500,,
BLAZIN JETOLENA,LENAS SUGAR DADDY,BLAZIN JENNIE JET,JET OF HONOR,Sorrel,5000,,
BULLSEYE BULLION,BULLY BULLION,TOP SHAWNE,SHAWNE BUG,Sorrel,2000,,
CARRIZZO,DASH TA FAME,SOUTHASOFIA,SAIL ON BUNNY,Sorrel,2500,,
CORONADO CARTEL,CORONA CARTEL,FIRST CAROLINA,MR JESS PERRY,Brown,3000,,
DASHIN DYNAMO,FIRST DOWN DASH,RONAS COVER GIRL SI 94,RONAS RYON,Chestnut,1750,,
DATS A FRENCHMAN,FRENCHMANS GUY,JUNOS DASHING CAT,JUNO DAT CASH,Chestnut,3000,,
DESIGNER RED,ON THE MONEY RED,PIN A ROSE ON ME,MR JET MAGIC,Sorrel,5000,,
EPIC LEADER,CONFEDERATE LEADER,FIREWATER FIESTA,FIRE WATER FLIT,Gray,4500,,
FEEL THE STING,DASH TA FAME,MP METER MY HAY,PC FRENCHMANS HAYDAY,Chestnut,3000,,
FIREWATER CANYON,FIRE WATER FLIT,MULBERRY CANYON MOON,MARTHAS SIX MOONS,Gray,2500,,
FRECKLES TA FAME,DASH TA FAME,FRENCHMANS FRECKLES,FRENCHMANS GUY,Sorrel,3500,,
FURYOFTHEWIND,CORONA CARTEL,DASHING PHOEBE,DASH FOR CASH,Bay,4000,,
HP DASH TA FIESTA,DASH TA FAME,FIREWATER FIESTA,FIRE WATER FLIT,Sorrel,1500,,
IMA SPECIAL KINDAGUY,FRENCHMANS GUY,MELT AWAY,SPECIAL LEADER,Palomino,2000,,
IMA TALENTED GUY,FRENCHMANS GUY,TALENTS DARK ANGEL,FLAMING TALENT,Buckskin,1700,,
IRISH PAY,PADDYS IRISH WHISKEY,RAISE THE PAY,PREFERRED PAY,Bay,2000,,
JESSES TOPAZ,MR JESS PERRY,PADDYS TOPAZ,PADDYS IRISH WHISKEY,Buckskin,2000,,
JL SIROCCO,DASH TA FAME,SOLARA,BAND OF AZURE,Sorrel,3500,,
JOHNNY REB JACKSON,CONFEDERATE LEADER,CAUSE FOR A KISS,CAUSE ITS MONEY,Black,1500,,
KVN CORONA,CORONA CARTEL,EXECUTIVE LOOKS SI 113,EXECUTIVE MENACE,Gray,5000,,
LUCKY WONDER HORSE,FIRST DOWN DASH,ROSAS CANTINA CC,CORONA CARTEL,Buckskin,3000,,
