"$     40,000","$         12,000",1,15.376,"$    3 ,000","$    2,550",Mark & Linda Jarvis,Our First Goodbye,Marcie Wilson,$         300,The Goodbye Lane,$         150,Mark & Linda Jarvis
"$           8,000",2,15.403,"$    2 ,000","$    1,700",McColee Land & Livestock,Manny Dot Com,Jade Rindlisbacher,$        200,PC Redwood Manny,$         100,Melvin D Griffith,
"$           5,200",3,15.440,"$    1 ,300","$    1,105",Jeff & Buffy Walchli,Rock O Blazin Fame,Buffy Walchli,$         130,Blazin Jetolena,$            65,Scott Martin,
"$           4,000",4,15.450,"$    1 ,000",$        850,Kimi Nichols,KN Rumor Has It,Kimi Nichols,$        100,Born Ta Be Famous,$            50,Kimi Ann Nichols,
"$           2,800",5,15.473,$       700,$        595,Deanna Mixon,Slick Lil Amigo,Sabra OQuinn,$           70,Slick By Design,$           35,Charlie Cole & Jason Martin,
"$           2,400",6,15.509,$       600,$        510,Danny Davon Thomas,Eyes A Manny,Sierra Dawn Thomas,$           60,PC Redwood Manny,$           30,Lance Robinson & Max Anderson,
"$           2,000",7,15.570,$       500,$        425,Kelsey Hayden,Buhbhye,Kelsey Hayden,$           50,The Goodbye Lane,$           25,Dawson Seeley,
"$           1,600",8,15.588,$       400,$        340,Ceri Ward,Hiccup,Ceri Ward,$           40,MP Jet To The Sun,$           20,,
"$           1,200",9,15.599,$       300,$        255,Jana Deck,Ms Trucoseix,Pete Oen,$           30,Tres Seis,$           15,Guys Rodriguez Pexixoto Junior,
$              800,10,15.604,$       200,$        170,Curtis Collier,RDJ Django Unreined,Jane Melby,$           20,PYC Paint Your Wagon,$           10,Jane &/or Ryan Melby,
$              800,10,15.604,$       200,$        170,Tricia Aldridge,Singing Soldier,Tricia Aldridge,$           20,Furyofthewind,$            10,Debbie Freeman,
"$     40,000","$         12,000",1,15.916,"$    3 ,000","$    2,550",Bailey Wallis,Jetbkus Imafrenchman,Bailey Wallis,$        300,Dats A Frenchman,$         150,Robert & Kay Weeks
"$           8,000",2,15.920,"$    2 ,000","$    1,700",Mark & Linda Jarvis,Slingshot Lane,Marcie Wilson,$         200,The Goodbye Lane,$         100,Mark & Linda Jarvis,
"$           5,200",3,15.931,"$    1 ,300","$    1,105",Jordan Bassett & Elayne Nevill,Rob Em Smooth,Jordan Kircher,$         130,A Smooth Guy,$            65,Shane & Hope Sickler,
"$           4,000",4,15.935,"$    1 ,000",$        850,Busby Quarterhorses LLC,Sway Cool,Sue Smith,$         100,Blazin Jetolena,$            50,Bob Burt,
"$           2,800",5,15.948,$       700,$        595,Dean & Jessie Domann,Irosesuchastinson,Jesse Domann,$           70,Eddie Stinson,$            35,Danny K Carroll,
"$           2,400",6,15.957,$       600,$        510,Greg Torgerson,PCR Pink Cadillac,Jayda Torgerson,$           60,,$            30,Greg Torgerson,
"$           2,000",7,15.964,$       500,$        425,Bill or Debbie Myers,Mr Sassy Frenchman,Kit Miller,$           50,,$            25,Bill & Debbie Myers,
"$           1,600",8,15.969,$       400,$        340,Cole & Marcie Wilson,CM Waitin On Lane,Marcie Wilson,$           40,The Goodbye Lane,$            20,Cole & Marcie Wilson,
"$           1,200",9,15.984,$       300,$        255,Paul Freed,Dashin Manny,Kailey Milton,$           30,PC Redwood Manny,$            15,Lance Robinson & Max Anderson,
$              800,10,15.987,$       200,$        170,Michelle Messenger,Do Get Fast,Michelle Messenger,$           20,Eddie Stinson,$           10,Michelle L Messenger,
"$     40,000","$         12,000",1,16.399,"$    3 ,000","$    2,550",Alyssa Bigon,Burnt Bizkit,Alyssa Bigon,$         300,MP Jet To The Sun,$         150,Monica McClung
"$           8,000",2,16.403,"$    2 ,000","$    1,700",Shana Gibson,RV Minion,Shana Gibson,$        200,The Goodbye Lane,$         100,Randy or Vauna Walker,
"$           5,200",3,16.415,"$    1 ,300","$    1,105",Carole Strickland,Smooth Aces,Carole Strickland,$         130,A Smooth Guy,$            65,Bill or Debbie Myers,
"$           4,000",4,16.423,"$    1 ,000",$        850,Greg or Lori Shearer,SX Blazin Brucolena,Lori Shearer,$         100,Blazin Jetolena,$            50,Greg or Lori Shearer,
"$           2,800",5,16.465,$       700,$        595,Heath Boucher,Lady On A Jet,Pete Oen,$           70,Blazin Jetolena,$            35,Busby Quarterhorses LLC,
"$           2,400",6,16.470,$       600,$        510,Maesa Kummer,A Smooth Bunny,Maesa Kummer,$           60,A Smooth Guy,$           30,Tracy or Marlie Trask,
"$           2,000",7,16.507,$       500,$        425,Four Taylors Ranch LLC,Blazins Last Cowgirl,Melissa Taylor,$           50,Blazin Jetolena,$            25,Susan Rist,
"$           1,600",8,16.511,$       400,$        340,Victory Farms,VF Im That Kinda Gal,Kelsey Lutjen,$           40,Eddie Stinson,$            20,Victory Farms,
"$           1,200",9,16.553,$       300,$        255,Scamper Cole,Not A Tres of Fear,Pete Oen,$           30,Tres Seis,$            15,S-Quarter K LLC,
$              800,10,16.574,$       200,$        170,Kelsey Hayden,Skipping Lanes,Kelsey Hayden,$           20,The Goodbye Lane,$            10,Lon P & Sonja E Seeley,
"$     40,000","$         12,000",1,16.917,"$    3 ,000","$    2,550",Jeffrey D Crockett,Grand PC Redwood,Teigan Adams,$         300,PC Redwood Manny,$         150,Scott Morgan Bass
"$           8,000",2,16.934,"$    2 ,000","$    1,700",Stefani Barnett,Aces Bug Leo,Stefani Barnett,$        200,Shawne Bug Leo,$         100,Jerry D Smith,
"$           5,200",3,16.990,"$    1 ,300","$    1,105",Brad & Karly Knight,Blazin Bug Cuz,Kaecee Knight,$        130,Blazin Jetolena,$            65,Vaughan & Mary Watkins,
"$           4,000",4,16.997,"$    1 ,000",$        850,Davi &/0r Willie Watterson,Famoulsy Smooth,Davi Watterson,$        100,A Smooth Guy,$            50,Thomas & Lainee Sampson,
"$           2,800",5,17.264,$       700,$        595,Van & Jake Bass,Speedy Dot Com,Timber Cote,$           70,PC Redwood Manny,$            35,Lance Robinson & Max Anderson,
"$           2,400",6,17.312,$       600,$        510,Lance Robinson & Max Anderson,Miss Redwood Stoli,Jade Rindlisbacher,$           60,PC Redwood Manny,$            30,Lance Robinson & Max Anderson,
"$           2,000",7,17.400,$       500,$        425,Tracy Milne,Streakin Stinson,Tracy Milne,$           50,Eddie Stinson,$           25,Kapp Investment Company LLC,
"$           1,600",8,17.471,$       400,$        340,Shawna Letcher,One Smooth Savage,Shawna Letcher,$           40,A Smooth Guy,$           20,Freda J Johnson,
"$           1,200",9,17.485,$       300,$        255,Mandy Raulston,Mr Dashin Bug,Tricia Aldridge,$           30,Dashin Dynamo,$            15,,
$              800,10,17.544,$       200,$        170,Shawna Letcher,Doin What She Needs,Shawna Letcher,$           20,A Smooth Guy,$           10,Luther Lange,
